"ID_PARTICIPANTE";"DT_INICIO_BENEFICIO";"VL_VALOR"
"10123687";"21/10/2010";"2525,14"
"10123688";"14/04/2014";"3090,00"
"10123689";"15/03/2012";"3116,08"
"10123690";"22/09/2010";"1724,14"
"10123691";"11/10/2012";"4676,49"
"10123692";"07/10/2014";"3606,39"
"10123693";"01/03/2013";"3248,56"
"10123694";"01/03/2010";"1608,01"
"10123695";"28/12/2007";"2843,73"
"10123696";"01/11/2011";"2785,03"
"10123697";"08/04/2010";"3015,81"
"10123698";"10/07/2012";"3388,11"
"10123699";"01/12/2012";"3191,38"
"10123700";"25/03/2011";"1936,61"
"10123701";"23/05/2013";"3367,61"
"10123702";"13/03/2015";"3600,38"
"10123703";"05/04/2011";"2879,98"
"10123704";"01/06/2014";"3122,45"
"10123705";"04/12/2014";"3583,39"
"10123706";"13/05/2014";"3343,94"
"10123707";"07/07/2009";"2678,33"
"10123708";"12/06/2013";"3103,44"
"10123709";"01/10/2014";"3450,71"
"10123710";"27/11/2012";"2953,99"
"10123711";"28/01/2014";"3077,86"
"10123712";"03/03/2008";"2873,30"
"10123713";"15/01/2015";"3117,86"
"10123714";"07/01/2014";"2988,75"
"10123715";"13/06/2014";"3086,03"
"10123716";"23/06/2014";"3209,17"
"10123717";"26/10/2010";"2520,30"
"10123718";"02/06/2008";"2451,11"
"10123719";"14/07/2014";"3497,00"
"10123720";"13/01/2014";"3107,28"
"10123721";"27/12/2006";"2498,67"
"10123722";"03/10/2012";"3183,22"
"10123723";"27/12/2010";"2696,27"
"10123724";"13/10/2009";"2728,45"
"10123725";"21/07/2011";"3024,05"
"10123726";"21/10/2013";"3520,68"
"10123727";"16/03/2012";"2785,42"
"10123728";"25/04/2014";"3395,34"
"10123729";"11/06/2008";"2555,46"
"10123730";"28/12/2010";"2767,59"
"10123731";"26/03/2012";"2614,34"
"10123732";"01/02/2009";"1770,08"
"10123733";"30/04/2013";"2899,72"
"10123734";"06/10/2008";"2657,93"
"10123735";"05/11/2006";"2635,73"
"10123736";"21/01/2008";"2745,51"
"10123737";"07/03/2012";"2994,11"
"10123738";"05/05/2007";"2642,05"
"10123739";"23/02/2012";"3286,28"
"10123740";"22/02/2010";"2762,98"
"10123741";"20/12/2010";"2774,45"
"10123742";"17/02/2012";"3035,81"
"10123743";"19/12/2006";"2761,70"
"10123744";"15/09/2009";"2857,64"
"10123745";"01/07/2011";"2905,02"
"10123746";"18/10/2010";"2529,11"
"10123747";"29/07/2014";"3106,38"
"10123748";"10/02/2014";"2835,14"
"10123749";"15/04/2013";"2906,52"
"10123750";"27/08/2014";"4624,49"
"10123751";"19/03/2013";"2796,17"
"10123752";"28/01/2008";"2390,61"
"10123753";"19/03/2009";"2642,02"
"10123754";"27/09/2007";"2660,14"
"10123755";"11/12/2013";"2866,25"
"10123756";"05/02/2010";"2575,74"
"10123757";"17/08/2011";"2720,44"
"10123758";"14/08/2009";"2812,45"
"10123759";"20/06/2014";"2871,87"
"10123760";"10/06/2008";"2417,01"
"10123761";"18/01/2008";"2508,03"
"10123762";"17/04/2009";"2600,76"
"10123763";"23/09/2011";"2739,70"
"10123764";"29/04/2014";"3075,23"
"10123765";"09/05/2008";"1743,67"
"10123766";"27/07/2012";"2770,34"
"10123767";"17/11/2011";"2759,37"
"10123768";"12/12/2011";"2967,00"
"10123769";"29/10/2013";"3253,98"
"10123770";"19/03/2015";"3244,23"
"10123771";"23/07/2014";"3341,14"
"10123772";"17/12/2013";"2883,12"
"10123773";"24/11/2014";"3628,31"
"10123774";"20/06/2012";"2925,91"
"10123775";"24/08/2012";"2794,43"
"10123776";"29/12/2011";"2792,16"
"10123777";"04/08/2014";"3279,23"
"10123778";"05/04/2012";"2556,54"
"10123779";"25/06/2013";"3262,69"
"10123780";"17/09/2014";"3363,48"
"10123781";"15/10/2012";"4626,21"
"10123782";"12/09/2014";"3482,47"
"10123783";"04/07/2011";"2557,71"
"10123784";"21/05/2013";"3171,03"
"10123785";"25/02/2015";"3257,49"
"10123786";"26/03/2015";"3388,61"
"10123787";"07/01/2011";"3085,01"
"10123788";"17/10/2014";"2893,86"
"10123789";"30/01/2007";"2627,15"
"10123790";"26/03/2013";"3360,55"
"10123791";"09/08/2013";"3129,72"
"10123792";"29/04/2015";"3455,72"
"10123793";"22/10/2013";"3385,24"
"10123794";"05/06/2012";"2993,22"
"10123795";"16/06/2010";"2754,14"
"10123796";"12/09/2013";"3239,27"
"10123797";"16/01/2014";"3528,40"
"10123798";"04/10/2011";"2877,85"
"10123799";"22/07/2011";"3196,64"
"10123800";"28/11/2011";"2784,08"
"10123801";"28/04/2014";"3458,69"
"10123802";"26/10/2012";"2845,00"
"10123803";"08/07/2016";"3172,34"
